department_id,name,company_id
1,"Software Engineering",1
2,"Data Science",1
3,"Cloud Infrastructure",1
4,"Software Engineering",2
5,"AI Research",2
6,"Cloud Engineering",2
7,"Data Engineering",3
8,"Software Engineering",3
9,"Machine Learning",3
10,"AI Research",4
11,"Data Science",4
12,"Software Engineering",4
13,"Software Engineering",5
14,"Machine Learning",5
15,"Cloud Infrastructure",5
16,"Data Science",6
17,"Cybersecurity",6
18,"Cloud Engineering",6
19,"Machine Learning",7
20,"AI Research",7
21,"Data Engineering",7
22,"Software Engineering",8
23,"Data Analytics",8
24,"IT Operations",8
25,"Software Engineering",9
26,"AI Research",9
27,"Data Engineering",9
28,"Software Engineering",10
29,"Cloud Infrastructure",10
30,"Data Science",10
31,"Database Engineering",11
32,"Cloud Engineering",11
33,"Software Engineering",11
34,"Software Engineering",12
35,"Data Science",12
36,"Product Engineering",12
37,"Cloud Engineering",13
38,"Data Analytics",13
39,"Software Engineering",13
40,"Data Engineering",14
41,"Machine Learning",14
42,"Software Engineering",14
43,"Software Engineering",15
44,"Data Science",15
45,"Cloud Infrastructure",15
46,"Software Engineering",16
47,"Data Analytics",16
48,"IT Operations",16
49,"AI Engineering",17
50,"Data Engineering",17
51,"Software Engineering",17
52,"Data Science",18
53,"Software Engineering",18
54,"Cybersecurity",18
55,"Cloud Engineering",19
56,"Data Engineering",19
57,"Software Engineering",19
58,"Software Engineering",20
59,"Data Analytics",20
60,"IT Operations",20
